DATE,BORROW
1919-01-01,1.710
1919-02-01,1.807
1919-03-01,1.885
1919-04-01,1.927
1919-05-01,1.980
1919-06-01,1.836
1919-07-01,1.882
1919-08-01,1.803
1919-09-01,1.783
1919-10-01,2.084
1919-11-01,2.167
1919-12-01,2.109
1920-01-01,2.148
1920-02-01,2.327
1920-03-01,2.372
1920-04-01,2.438
1920-05-01,2.519
1920-06-01,2.454
1920-07-01,2.512
1920-08-01,2.607
1920-09-01,2.658
1920-10-01,2.766
1920-11-01,2.755
1920-12-01,2.708
1921-01-01,2.499
1921-02-01,2.400
1921-03-01,2.305
1921-04-01,2.130
1921-05-01,1.954
1921-06-01,1.811
1921-07-01,1.710
1921-08-01,1.529
1921-09-01,1.432
1921-10-01,1.360
1921-11-01,1.218
1921-12-01,1.182
1922-01-01,0.966
1922-02-01,0.792
1922-03-01,0.637
1922-04-01,0.563
1922-05-01,0.482
1922-06-01,0.431
1922-07-01,0.438
1922-08-01,0.392
1922-09-01,0.409
1922-10-01,0.485
1922-11-01,0.629
1922-12-01,0.653
1923-01-01,0.564
1923-02-01,0.612
1923-03-01,0.629
1923-04-01,0.650
1923-05-01,0.711
1923-06-01,0.737
1923-07-01,0.836
1923-08-01,0.805
1923-09-01,0.832
1923-10-01,0.865
1923-11-01,0.787
1923-12-01,0.779
1924-01-01,0.600
1924-02-01,0.515
1924-03-01,0.471
1924-04-01,0.490
1924-05-01,0.424
1924-06-01,0.370
1924-07-01,0.314
1924-08-01,0.266
1924-09-01,0.270
1924-10-01,0.248
1924-11-01,0.227
1924-12-01,0.294
1925-01-01,0.242
1925-02-01,0.347
1925-03-01,0.372
1925-04-01,0.389
1925-05-01,0.365
1925-06-01,0.421
1925-07-01,0.455
1925-08-01,0.545
1925-09-01,0.587
1925-10-01,0.613
1925-11-01,0.593
1925-12-01,0.683
1926-01-01,0.493
1926-02-01,0.518
1926-03-01,0.555
1926-04-01,0.521
1926-05-01,0.491
1926-06-01,0.465
1926-07-01,0.533
1926-08-01,0.551
1926-09-01,0.637
1926-10-01,0.637
1926-11-01,0.613
1926-12-01,0.648
1927-01-01,0.476
1927-02-01,0.392
1927-03-01,0.419
1927-04-01,0.422
1927-05-01,0.459
1927-06-01,0.435
1927-07-01,0.434
1927-08-01,0.413
1927-09-01,0.417
1927-10-01,0.428
1927-11-01,0.420
1927-12-01,0.532
1928-01-01,0.439
1928-02-01,0.463
1928-03-01,0.489
1928-04-01,0.637
1928-05-01,0.826
1928-06-01,1.012
1928-07-01,1.079
1928-08-01,1.045
1928-09-01,1.064
1928-10-01,0.960
1928-11-01,0.901
1928-12-01,1.039
1929-01-01,0.844
1929-02-01,0.875
1929-03-01,0.956
1929-04-01,0.990
1929-05-01,0.951
1929-06-01,0.974
1929-07-01,1.090
1929-08-01,1.040
1929-09-01,0.961
1929-10-01,0.878
1929-11-01,0.950
1929-12-01,0.801
1930-01-01,0.498
1930-02-01,0.378
1930-03-01,0.272
1930-04-01,0.231
1930-05-01,0.245
1930-06-01,0.250
1930-07-01,0.223
1930-08-01,0.214
1930-09-01,0.188
1930-10-01,0.196
1930-11-01,0.220
1930-12-01,0.337
1931-01-01,0.252
1931-02-01,0.216
1931-03-01,0.176
1931-04-01,0.154
1931-05-01,0.163
1931-06-01,0.187
1931-07-01,0.169
1931-08-01,0.222
1931-09-01,0.280
1931-10-01,0.608
1931-11-01,0.684
1931-12-01,0.763
1932-01-01,0.817
1932-02-01,0.836
1932-03-01,0.706
1932-04-01,0.599
1932-05-01,0.484
1932-06-01,0.494
1932-07-01,0.522
1932-08-01,0.450
1932-09-01,0.386
1932-10-01,0.327
1932-11-01,0.312
1932-12-01,0.281
1933-01-01,0.254
1933-02-01,0.306
1933-03-01,0.881
1933-04-01,0.323
1933-05-01,0.253
1933-06-01,0.184
1933-07-01,0.113
1933-08-01,0.116
1933-09-01,0.103
1933-10-01,0.091
1933-11-01,0.090
1933-12-01,0.095
1934-01-01,0.085
1934-02-01,0.054
1934-03-01,0.041
1934-04-01,0.031
1934-05-01,0.026
1934-06-01,0.022
1934-07-01,0.018
1934-08-01,0.016
1934-09-01,0.018
1934-10-01,0.011
1934-11-01,0.010
1934-12-01,0.010
1935-01-01,0.008
1935-02-01,0.006
1935-03-01,0.006
1935-04-01,0.006
1935-05-01,0.007
1935-06-01,0.007
1935-07-01,0.007
1935-08-01,0.007
1935-09-01,0.010
1935-10-01,0.008
1935-11-01,0.007
1935-12-01,0.006
1936-01-01,0.006
1936-02-01,0.007
1936-03-01,0.006
1936-04-01,0.005
1936-05-01,0.005
1936-06-01,0.006
1936-07-01,0.003
1936-08-01,0.006
1936-09-01,0.007
1936-10-01,0.006
1936-11-01,0.006
1936-12-01,0.007
1937-01-01,0.003
1937-02-01,0.003
1937-03-01,0.006
1937-04-01,0.010
1937-05-01,0.016
1937-06-01,0.015
1937-07-01,0.013
1937-08-01,0.017
1937-09-01,0.024
1937-10-01,0.022
