DATE,TTLHHM156N
1955-04-01,47788
1955-05-01,.
1955-06-01,48120
1955-07-01,.
1955-08-01,47807
1955-09-01,48223
1955-10-01,48310
1955-11-01,48398
1955-12-01,48529
1956-01-01,48640
1956-02-01,48782
1956-03-01,48684
1956-04-01,48715
1956-05-01,48633
1956-06-01,48743
1956-07-01,48786
1956-08-01,48704
1956-09-01,48982
1956-10-01,49130
1956-11-01,49276
1956-12-01,49178
1957-01-01,49347
1957-02-01,49409
1957-03-01,49476
1957-04-01,49502
1957-05-01,49718
1957-06-01,49950
1957-07-01,50014
1957-08-01,49836
1957-09-01,49946
1957-10-01,.
1957-11-01,50279
1957-12-01,50079
1958-01-01,50187
1958-02-01,49923
1958-03-01,50402
1958-04-01,50296
1958-05-01,50508
1958-06-01,50853
1958-07-01,50921
1958-08-01,50954
1958-09-01,51042
1958-10-01,50902
1958-11-01,50768
1958-12-01,50955
1959-01-01,51027
1959-02-01,51328
1959-03-01,51316
1959-04-01,51514
1959-05-01,51796
1959-06-01,51760
1959-07-01,51792
1959-08-01,51829
1959-09-01,51900
1959-10-01,51976
1959-11-01,51916
1959-12-01,52044
1960-01-01,52071
1960-02-01,52202
1960-03-01,52643
1960-04-01,52652
1960-05-01,52936
1960-06-01,53217
1960-07-01,53219
1960-08-01,53444
1960-09-01,53325
1960-10-01,53479
1960-11-01,53639
1960-12-01,53276
1961-01-01,53443
1961-02-01,53394
1961-03-01,53391
1961-04-01,53503
1961-05-01,53680
1961-06-01,54152
1961-07-01,54363
1961-08-01,54316
1961-09-01,54469
1961-10-01,53172
1961-11-01,54305
1961-12-01,54459
1962-01-01,54452
1962-02-01,54674
1962-03-01,53732
1962-04-01,53786
1962-05-01,54639
1962-06-01,54554
1962-07-01,54781
1962-08-01,54678
1962-09-01,54944
1962-10-01,54977
1962-11-01,54916
1962-12-01,55106
1963-01-01,54994
1963-02-01,55195
1963-03-01,54772
1963-04-01,54906
1963-05-01,55413
1963-06-01,55264
1963-07-01,55374
1963-08-01,55579
1963-09-01,55625
1963-10-01,.
1963-11-01,.
1963-12-01,.
1964-01-01,56062
1964-02-01,56146
1964-03-01,55721
1964-04-01,55979
1964-05-01,56256
1964-06-01,56463
1964-07-01,56694
1964-08-01,56602
1964-09-01,56646
1964-10-01,56800
1964-11-01,56798
1964-12-01,57028
1965-01-01,57092
1965-02-01,56996
1965-03-01,56900
1965-04-01,57251
1965-05-01,57477
1965-06-01,57648
1965-07-01,57848
1965-08-01,57789
1965-09-01,57903
1965-10-01,57878
1965-11-01,57875
1965-12-01,57798
1966-01-01,57696
1966-02-01,58053
1966-03-01,57910
1966-04-01,58399
1966-05-01,58710
1966-06-01,58830
1966-07-01,59032
1966-08-01,58821
1966-09-01,58921
1966-10-01,58712
1966-11-01,58703
1966-12-01,58671
1967-01-01,58728
1967-02-01,58850
1967-03-01,58588
1967-04-01,59010
1967-05-01,59058
1967-06-01,59360
1967-07-01,60045
1967-08-01,60112
1967-09-01,60242
1967-10-01,60180
1967-11-01,60057
1967-12-01,60162
1968-01-01,60441
1968-02-01,60400
1968-03-01,60526
1968-04-01,60662
1968-05-01,60618
1968-06-01,60938
1968-07-01,61016
1968-08-01,61170
1968-09-01,61402
1968-10-01,61371
1968-11-01,61435
1968-12-01,61462
1969-01-01,61712
1969-02-01,61688
1969-03-01,61877
1969-04-01,62047
1969-05-01,62133
1969-06-01,62246
1969-07-01,62349
1969-08-01,62411
1969-09-01,62627
1969-10-01,62806
1969-11-01,62826
1969-12-01,62709
1970-01-01,62784
1970-02-01,62848
1970-03-01,63012
1970-04-01,63355
1970-05-01,63488
1970-06-01,63745
1970-07-01,63922
1970-08-01,64129
1970-09-01,64159
1970-10-01,64355
1970-11-01,64248
1970-12-01,64255
1971-01-01,64885
1971-02-01,64256
1971-03-01,64500
1971-04-01,64886
1971-05-01,64885
1971-06-01,65124
1971-07-01,65194
1971-08-01,65209
1971-09-01,65538
1971-10-01,65693
1971-11-01,65783
1971-12-01,66034
1972-01-01,66509
1972-02-01,66690
1972-03-01,66741
1972-04-01,66666
1972-05-01,66821
1972-06-01,67081
1972-07-01,67131
1972-08-01,67256
1972-09-01,67514
1972-10-01,67605
1972-11-01,67712
1972-12-01,67868
1973-01-01,68128
1973-02-01,68260
1973-03-01,68405
1973-04-01,68257
1973-05-01,68459
1973-06-01,68634
1973-07-01,68924
1973-08-01,69090
1973-09-01,69354
1973-10-01,69465
1973-11-01,69554
1973-12-01,69510
1974-01-01,69560
1974-02-01,69631
1974-03-01,69952
1974-04-01,70105
1974-05-01,70428
1974-06-01,70573
1974-07-01,70709
1974-08-01,70909
1974-09-01,71074
1974-10-01,71246
1974-11-01,71205
1974-12-01,71305
1975-01-01,71290
1975-02-01,71050
1975-03-01,71285
1975-04-01,71496
1975-05-01,71547
1975-06-01,71777
1975-07-01,72087
1975-08-01,72087
1975-09-01,72031
1975-10-01,72475
1975-11-01,72621
1975-12-01,72659
1976-01-01,73021
1976-02-01,72061
1976-03-01,73040
1976-04-01,73072
1976-05-01,73142
1976-06-01,73306
1976-07-01,73515
1976-08-01,73482
1976-09-01,73767
1976-10-01,73836
1976-11-01,74096
1976-12-01,74035
1977-01-01,74177
1977-02-01,74400
1977-03-01,74318
1977-04-01,74460
1977-05-01,74276
1977-06-01,74454
1977-07-01,74612
1977-08-01,74937
1977-09-01,75237
1977-10-01,75408
1977-11-01,75625
1977-12-01,75524
1978-01-01,75769
1978-02-01,75805
1978-03-01,76073
1978-04-01,76217
1978-05-01,76318
1978-06-01,76390
1978-07-01,76392
1978-08-01,76642
1978-09-01,77034
1978-10-01,77156
1978-11-01,77320
1978-12-01,77166
1979-01-01,77223
1979-02-01,77205
1979-03-01,77438
1979-04-01,77754
1979-05-01,78035
1979-06-01,78172
1979-07-01,78126
1979-08-01,78084
1979-09-01,78085
1979-10-01,78404
1979-11-01,78649
1979-12-01,78613
1980-01-01,78920
1980-02-01,79089
1980-03-01,79320
1980-04-01,79284
1980-05-01,79426
1980-06-01,79582
1980-07-01,79589
1980-08-01,79982
1980-09-01,80109
1980-10-01,80120
1980-11-01,80173
1980-12-01,80053
1981-01-01,80378
1981-02-01,80685
1981-03-01,80779
1981-04-01,80796
1981-05-01,80867
1981-06-01,81080
1981-07-01,80938
1981-08-01,81225
1981-09-01,81172
1981-10-01,81344
1981-11-01,81520
1981-12-01,81459
1982-01-01,83569
1982-02-01,83666
1982-03-01,83718
1982-04-01,83603
1982-05-01,83625
1982-06-01,83465
1982-07-01,83465
1982-08-01,83655
1982-09-01,83791
1982-10-01,83912
1982-11-01,84186
1982-12-01,84121
1983-01-01,84058
1983-02-01,84086
1983-03-01,84146
1983-04-01,84107
1983-05-01,84233
1983-06-01,84249
1983-07-01,84460
1983-08-01,84510
1983-09-01,84821
1983-10-01,85233
1983-11-01,85471
1983-12-01,85407
1984-01-01,85525
1984-02-01,85617
1984-03-01,85732
1984-04-01,85857
1984-05-01,86125
1984-06-01,86292
1984-07-01,86421
1984-08-01,86626
1984-09-01,86921
1984-10-01,87070
1984-11-01,87050
1984-12-01,86915
1985-01-01,86828
1985-02-01,87202
1985-03-01,87184
1985-04-01,87485
1985-05-01,87684
1985-06-01,87889
1985-07-01,87997
1985-08-01,88202
1985-09-01,88433
1985-10-01,88534
1985-11-01,88592
1985-12-01,88615
1986-01-01,88817
1986-02-01,88829
1986-03-01,88805
1986-04-01,88879
1986-05-01,88924
1986-06-01,89025
1986-07-01,89147
1986-08-01,89145
1986-09-01,89293
1986-10-01,89448
1986-11-01,89657
1986-12-01,89771
1987-01-01,89997
1987-02-01,90123
1987-03-01,89962
1987-04-01,90060
1987-05-01,90331
1987-06-01,90355
1987-07-01,90537
1987-08-01,90533
1987-09-01,90802
1987-10-01,90945
1987-11-01,91175
1987-12-01,91379
1988-01-01,91601
1988-02-01,91656
1988-03-01,91545
1988-04-01,91713
1988-05-01,91917
1988-06-01,92036
1988-07-01,92188
1988-08-01,92245
1988-09-01,92372
1988-10-01,92270
1988-11-01,92416
1988-12-01,92277
1989-01-01,92699
1989-02-01,93102
1989-03-01,93322
1989-04-01,93465
1989-05-01,93304
1989-06-01,93223
1989-07-01,93539
1989-08-01,93720
1989-09-01,94029
1989-10-01,93737
1989-11-01,93613
1989-12-01,93489
1990-01-01,93477
1990-02-01,93733
1990-03-01,93927
1990-04-01,94076
1990-05-01,94063
1990-06-01,94465
1990-07-01,94491
1990-08-01,94705
1990-09-01,94591
1990-10-01,94383
1990-11-01,94371
1990-12-01,94400
1991-01-01,94863
1991-02-01,95095
1991-03-01,94987
1991-04-01,95102
1991-05-01,95121
1991-06-01,95371
1991-07-01,95288
1991-08-01,95508
1991-09-01,95568
1991-10-01,95347
1991-11-01,95368
1991-12-01,95411
1992-01-01,95776
1992-02-01,95888
1992-03-01,95984
1992-04-01,96309
1992-05-01,96456
1992-06-01,96586
1992-07-01,96426
1992-08-01,96383
1992-09-01,96469
1992-10-01,96674
1992-11-01,96766
1992-12-01,96665
1993-01-01,97001
1993-02-01,97063
1993-03-01,97090
1993-04-01,97142
1993-05-01,97195
1993-06-01,97409
1993-07-01,97703
1993-08-01,98203
1993-09-01,98359
1993-10-01,98472
1993-11-01,98579
1993-12-01,98395
1994-01-01,97962
1994-02-01,98033
1994-03-01,97950
1994-04-01,98142
1994-05-01,98214
1994-06-01,98446
1994-07-01,98508
1994-08-01,98956
1994-09-01,99316
1994-10-01,99432
1994-11-01,99708
1994-12-01,99640
1995-01-01,99889
1995-02-01,99652
1995-03-01,99776
1995-04-01,99743
1995-05-01,100013
1995-06-01,100041
1995-07-01,99910
1995-08-01,99910
1995-09-01,99802
1995-10-01,100363
1995-11-01,100308
1995-12-01,100417
1996-01-01,100415
1996-02-01,100417
1996-03-01,100585
1996-04-01,100826
1996-05-01,101157
1996-06-01,101264
1996-07-01,101153
1996-08-01,101076
1996-09-01,101131
1996-10-01,101230
1996-11-01,101201
1996-12-01,101361
1997-01-01,101374
1997-02-01,101825
1997-03-01,101905
